,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
85692,KC,83.8,-1.38,5.82,"Bieber, Shane",14.0,R,R,R,S,0,2,0.08,-0.44,0.84,0.59,2,4.94098778021824,-121.853900217676,-0.18587828162588,23.205067300395,-35.8485375043919,3.21,1.56,83.1,2193.0,5.8,54.72,16,5,Knuckle Curve,10.0,0.0,0.0
85693,FF,93.7,-1.32,5.85,"Bieber, Shane",14.0,R,R,R,S,0,2,-0.64,1.64,1.02,2.09,2,7.38325728500369,-136.072020649696,-9.46321583255254,29.58205097415,-10.5518256153713,3.21,1.56,93.3,2353.0,6.1,54.38,16,4,4-Seam Fastball,201.0,0.0,0.0
85694,KC,83.9,-1.35,5.86,"Bieber, Shane",14.0,R,R,R,S,0,2,0.15,-0.76,0.19,1.43,2,3.25493323040362,-122.174414296428,0.8433972920659009,22.7744130557989,-39.4083701715501,3.21,1.56,83.2,2256.0,5.7,54.81,16,3,Knuckle Curve,11.0,0.0,0.0
85695,KC,83.0,-1.51,5.88,"Bieber, Shane",5.0,R,R,R,S,0,1,-0.03,-0.61,-0.08,2.52,2,3.30681934751964,-120.870356115105,-0.834053729753489,21.3996974366617,-38.3121535888678,3.08,1.52,83.2,2234.0,6.2,54.35,16,2,Knuckle Curve,358.0,0.0,-0.052
85696,FF,92.1,-1.42,5.83,"Bieber, Shane",6.0,R,R,R,S,0,0,-0.54,1.42,0.8,2.22,2,6.74506609306188,-133.865424764925,-7.86954435233924,28.610442622653498,-14.194872978306,3.05,1.51,91.4,2207.0,5.9,54.57,16,1,4-Seam Fastball,201.0,0.0,-0.039
85720,FF,93.8,-1.32,5.88,"Bieber, Shane",9.0,R,R,R,S,1,2,-0.75,1.59,0.56,2.16,1,6.48615003712546,-136.313122593627,-10.7490885793901,29.1818623590245,-11.097919658592698,3.46,1.62,93.6,2221.0,6.2,54.33,9,4,4-Seam Fastball,205.0,-0.024,-0.161
85721,FF,93.2,-1.3,5.9,"Bieber, Shane",3.0,R,R,R,S,1,1,-0.76,1.68,0.38,3.28,1,5.91488841456168,-135.384263348095,-10.5671980848399,31.1889266122455,-11.1085453660759,3.41,1.65,92.2,2371.0,5.9,54.58,9,3,4-Seam Fastball,204.0,0.0,-0.073
85722,FF,93.2,-1.27,5.8,"Bieber, Shane",14.0,R,R,R,B,0,1,-0.79,1.58,1.11,1.47,1,7.942512092603461,-135.37491369299102,-11.6267861441676,30.1451888866248,-10.6582876657089,3.48,1.71,93.8,2355.0,6.8,53.71,9,2,4-Seam Fastball,207.0,0.0,0.031
85723,FF,92.8,-1.38,5.89,"Bieber, Shane",6.0,R,R,R,S,0,0,-0.87,1.65,0.53,2.41,1,6.68046422663522,-134.738695465577,-11.8799325271097,31.3629215563088,-11.3011891475799,3.46,1.65,91.6,2336.0,5.9,54.62,9,1,4-Seam Fastball,208.0,0.0,-0.0409999999999999
85724,FF,93.5,-1.39,5.83,"Bieber, Shane",3.0,R,L,R,X,0,1,-0.78,1.42,0.69,3.43,1,7.161647758945611,-136.127048895538,-11.3905611255039,29.3616964358872,-13.6262913343026,3.36,1.6,94.4,2295.0,6.8,53.74,8,2,4-Seam Fastball,209.0,-0.0289999999999999,-0.266
