,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
619635,FF,96.0,-1.44,5.79,"deGrom, Jacob",11.0,R,L,R,B,1,0,-0.17,1.29,-0.23,4.82,2,3.6288847071532704,-140.02067025550102,-3.07827232324599,30.2630483266792,-14.9997609877117,3.25,1.59,97.3,2384.0,6.8,53.67,11,2,4-Seam Fastball,188.0,0.0,0.077
619636,FF,95.9,-1.53,5.75,"deGrom, Jacob",11.0,R,L,R,B,0,0,-0.43,1.41,-1.16,2.86,2,1.98821179821161,-139.72694340546602,-6.14178358960516,29.8270705159579,-12.354124465099002,3.32,1.59,97.2,2387.0,6.8,53.65,11,1,4-Seam Fastball,197.0,0.0,0.043
619637,FF,96.6,-1.48,5.65,"deGrom, Jacob",11.0,R,L,R,S,1,2,-0.51,1.32,-0.43,3.71,2,4.03155384484626,-140.843295342279,-7.788107839391731,29.8572554827328,-13.7749501785776,3.33,1.6,98.0,2450.0,6.8,53.66,10,4,4-Seam Fastball,201.0,0.035,-0.28
619638,SL,93.4,-1.62,5.65,"deGrom, Jacob",5.0,R,L,R,S,1,1,0.24,0.56,0.16,2.73,2,4.09847639566642,-136.117992561259,2.1455367136689,28.2235490506858,-24.7471525956953,3.65,1.82,94.2,2456.0,6.5,53.96,10,3,Slider,157.0,0.0,-0.0969999999999999
619639,FF,95.8,-1.55,5.63,"deGrom, Jacob",4.0,R,L,R,S,1,0,-0.34,1.43,-0.81,2.96,2,2.73197807432522,-139.495380146089,-5.05236273823914,30.5834362502354,-12.5382505979469,3.52,1.76,96.5,2307.0,6.6,53.93,10,2,4-Seam Fastball,193.0,0.0,-0.085
619640,FF,96.0,-1.48,5.73,"deGrom, Jacob",1.0,R,L,R,B,0,0,-0.28,1.45,-0.63,3.6,2,2.89778297883075,-139.836614153238,-4.26333120209555,29.4873960738446,-12.4272782597288,3.59,1.78,96.8,2381.0,6.5,53.95,10,1,4-Seam Fastball,191.0,0.0,0.071
619641,SL,91.5,-1.75,5.74,"deGrom, Jacob",6.0,R,R,R,X,0,0,0.16,0.41,0.61,2.83,2,5.6865170506632605,-133.326937091544,0.839252272257622,25.6821995828558,-26.8019729775875,3.65,1.82,93.0,2448.0,6.9,53.63,9,1,Slider,159.0,-0.038,0.408
619658,FF,97.7,-1.23,5.67,"deGrom, Jacob",3.0,R,L,R,X,2,2,-0.38,1.43,0.71,3.09,1,6.20470883672112,-142.326614671997,-6.70611139208384,33.284828154779,-11.3047347395711,3.53,1.67,99.1,2496.0,7.1,53.43,4,7,4-Seam Fastball,195.0,0.032,-0.275
619659,CH,90.3,-1.28,5.59,"deGrom, Jacob",8.0,R,L,R,S,2,2,-1.4,0.67,-0.01,2.15,1,6.357961796892459,-131.54635289416,-18.0825690378728,26.5882478398434,-23.4458641889235,3.53,1.67,92.0,2185.0,7.1,53.39,4,6,Changeup,244.0,0.0,0.0
619660,FF,98.4,-1.46,5.59,"deGrom, Jacob",5.0,R,L,R,S,2,2,-0.52,1.35,-0.07,2.26,1,5.04959368760435,-143.197809977903,-8.41890029659911,32.7365220191893,-11.8832315961905,3.53,1.67,99.4,2458.0,6.8,53.67,4,5,4-Seam Fastball,201.0,0.0,0.0
619661,SL,93.3,-1.48,5.63,"deGrom, Jacob",14.0,R,L,R,S,2,1,0.12,0.66,0.88,2.04,1,5.87461267791441,-135.93723420961,0.273574041653513,28.340295765471502,-22.973479518790803,3.53,1.67,94.5,2498.0,6.8,53.67,4,4,Slider,170.0,0.0,-0.071
