,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
26742,FF,92.1,-1.87,4.82,"Nola, Aaron",5.0,R,L,R,S,0,0,-1.42,1.04,0.0,2.07,3,7.938405365302158,-133.85568392964058,-18.855467465907815,30.32912994533764,-19.08790001225765,2.97,1.36,92.8,2213.0,6.9,53.61,22,1,4-Seam Fastball,234.0,0.0,-0.042
26766,FF,93.9,-1.79,4.97,"Nola, Aaron",6.0,R,R,R,S,0,2,-1.32,1.15,0.75,2.55,2,9.58703065421094,-136.2878989175548,-18.6197605015014,32.0247604309163,-17.415596239182214,3.46,1.63,94.4,2257.0,6.9,53.63,15,3,4-Seam Fastball,226.0,-0.022,-0.159
26767,SI,90.7,-1.92,4.87,"Nola, Aaron",11.0,R,R,R,S,0,1,-1.63,0.74,-0.97,2.55,2,5.935569470338384,-131.93713053434666,-20.27317512027592,28.40483548777375,-23.43597158919659,3.46,1.63,91.9,2089.0,7.0,53.47,15,2,Sinker,230.0,0.0,-0.053
26768,FF,92.8,-1.82,5.0,"Nola, Aaron",3.0,R,R,R,S,0,0,-1.27,1.05,0.47,3.17,2,8.740408304616754,-134.89883776861174,-17.380947056243652,30.32001025204067,-19.31924442026077,3.12,1.38,93.7,2175.0,6.9,53.56,15,1,4-Seam Fastball,230.0,0.0,-0.0409999999999999
26769,KC,79.4,-1.9,5.06,"Nola, Aaron",9.0,R,R,R,X,0,2,1.0,-0.81,0.41,1.64,2,3.2247572706569607,-115.51150771576164,8.106421541343433,24.94266412444082,-39.82145174591408,3.41,1.54,79.7,2488.0,6.9,53.6,14,3,Knuckle Curve,48.0,-0.026,-0.196
26770,FF,92.7,-1.83,4.88,"Nola, Aaron",14.0,R,R,R,S,0,1,-1.23,1.33,0.92,2.08,2,9.829665206919492,-134.67571151458284,-17.102397082014804,28.88501001966269,-15.162715115928998,3.41,1.55,93.9,1490.0,7.0,53.46,14,2,4-Seam Fastball,202.0,0.0,-0.059
26771,FF,93.0,-1.81,4.97,"Nola, Aaron",2.0,R,R,R,S,0,0,-1.19,1.26,0.08,2.96,2,7.519807754928728,-135.17821460069436,-16.225163690154883,30.301183983186807,-16.44850578685191,3.41,1.54,93.7,2996.0,6.8,53.7,14,1,4-Seam Fastball,182.0,0.0,-0.044
26772,FF,92.3,-1.95,4.98,"Nola, Aaron",12.0,R,L,R,X,0,1,-1.26,1.2,0.01,4.06,2,7.842760886275319,-134.19505483693598,-16.978425045136618,28.77389375480353,-18.114907427912808,3.38,1.64,93.5,2266.0,7.0,53.48,13,2,4-Seam Fastball,229.0,-0.031,-0.3429999999999999
26773,KC,78.2,-1.96,5.08,"Nola, Aaron",4.0,R,L,R,S,0,0,0.99,-0.83,-0.73,2.45,2,0.8342564298269861,-113.82326006575116,8.366987398864211,23.282013573459,-40.114377718398416,3.22,1.68,78.5,2513.0,6.7,53.78,13,1,Knuckle Curve,61.0,0.0,-0.049
26774,KC,79.3,-1.87,4.97,"Nola, Aaron",13.0,R,R,R,X,0,2,0.89,-0.77,-0.34,1.08,2,1.693823893819461,-115.3743885781545,7.419751598700354,26.408617703784884,-39.17828377539615,3.11,1.43,79.2,2496.0,6.7,53.75,12,3,Knuckle Curve,58.0,0.033,0.494
26775,KC,79.2,-1.84,5.04,"Nola, Aaron",14.0,R,R,R,S,0,1,0.97,-0.87,0.03,1.12,2,2.2846225880954485,-115.15801336934511,8.053557706877898,25.251565982092337,-40.10709875193557,3.11,1.43,79.3,2545.0,6.8,53.65,12,2,Knuckle Curve,29.0,0.0,-0.0559999999999999
26776,SI,93.4,-1.9,4.94,"Nola, Aaron",8.0,R,R,R,S,0,0,-1.45,0.93,0.19,1.64,2,8.721972524546086,-135.68223991602258,-19.868133012740604,30.311479531847816,-19.7638140167293,3.09,1.41,94.7,2097.0,7.2,53.31,12,1,Sinker,231.0,0.0,-0.042
26789,KC,77.6,-1.91,5.06,"Nola, Aaron",7.0,R,L,R,X,1,1,1.1,-0.78,-0.29,2.0,1,1.47290650432307,-113.03232249968016,9.17020138558613,20.69776435915968,-39.45246777891477,3.18,1.54,78.2,2487.0,6.7,53.85,8,3,Knuckle Curve,50.0,-0.021,-0.2339999999999999
26790,FF,92.3,-1.95,4.83,"Nola, Aaron",4.0,R,L,R,S,1,0,-1.32,0.97,-0.69,2.07,1,6.170713957803796,-134.3231168736804,-17.259174811070245,27.78154342478915,-19.9239668059608,3.29,1.38,93.8,2222.0,7.1,53.41,8,2,4-Seam Fastball,229.0,0.0,-0.052
26791,FF,92.9,-1.95,4.87,"Nola, Aaron",11.0,R,L,R,B,0,0,-1.14,1.13,-1.13,2.61,1,4.667701406753045,-135.36147512639943,-15.088994712713976,25.351340025816487,-17.83125166722251,3.17,1.43,94.7,2191.0,7.0,53.55,8,1,4-Seam Fastball,229.0,0.0,0.033
26792,KC,78.5,-1.94,5.05,"Nola, Aaron",13.0,R,L,R,X,2,1,1.03,-0.8,-0.13,1.46,1,2.016796130004606,-114.20063732002043,8.467507175163824,23.93971765538261,-39.47920233246128,3.37,1.62,78.6,2536.0,6.7,53.79,7,4,Knuckle Curve,48.0,0.1119999999999999,0.7559999999999999
26793,CH,85.2,-2.03,4.78,"Nola, Aaron",4.0,R,L,R,S,2,0,-1.4,0.45,-0.69,2.48,1,6.081994896350085,-123.9345414166774,-15.620513972167863,24.309704561130854,-27.773655755396785,3.34,1.63,86.9,1498.0,7.3,53.16,7,3,Changeup,258.0,0.0,-0.078
26794,FF,92.9,-1.73,4.93,"Nola, Aaron",2.0,R,L,R,B,1,0,-1.34,1.3,0.02,3.42,1,7.535418528605343,-135.04931795617276,-18.05820830338945,29.917527389229694,-16.33985253484468,3.34,1.61,94.1,2270.0,7.1,53.39,7,2,4-Seam Fastball,239.0,0.0,0.061
26795,SI,92.5,-1.95,4.92,"Nola, Aaron",12.0,R,L,R,B,0,0,-1.54,1.1,1.17,2.84,1,11.46053882426797,-134.18245801934478,-21.13831556174275,31.342916071315976,-18.778248290683,3.37,1.58,93.3,2146.0,7.1,53.4,7,1,Sinker,239.0,0.0,0.04
26796,FF,94.4,-1.78,4.82,"Nola, Aaron",7.0,R,L,R,X,2,1,-1.52,1.15,-0.4,1.87,1,7.133261854105355,-137.29270556380172,-20.859633781009663,30.860571828152253,-16.852366738046538,3.09,1.51,95.9,2184.0,7.2,53.28,6,4,4-Seam Fastball,234.0,0.026,0.144
26797,KC,79.6,-1.96,5.03,"Nola, Aaron",11.0,R,L,R,B,1,1,1.21,-0.74,-1.34,2.37,1,-0.9480587471156066,-115.81887987351512,10.995874128170868,24.890295475170408,-39.54231362287749,2.99,1.41,79.7,2655.0,6.7,53.78,6,3,Knuckle Curve,53.0,0.0,0.021
26798,FF,93.8,-1.8,4.87,"Nola, Aaron",13.0,R,L,R,B,0,1,-1.44,1.04,-1.32,1.51,1,4.470955340275848,-136.5396156913383,-18.95377710691821,29.37178207153327,-18.236999644984547,3.07,1.43,95.1,2489.0,7.0,53.54,6,2,4-Seam Fastball,204.0,0.0,0.013
26799,KC,78.6,-1.89,5.06,"Nola, Aaron",13.0,R,L,R,S,0,0,1.01,-0.78,-0.23,1.27,1,1.7492913100644585,-114.4441953107335,8.428202374549393,23.13378315094594,-39.2355545958814,3.01,1.48,79.0,2533.0,6.7,53.76,6,1,Knuckle Curve,54.0,0.0,-0.017
26800,KC,79.2,-1.8,4.97,"Nola, Aaron",14.0,R,R,R,S,2,2,1.14,-0.77,0.92,1.01,1,3.8336851398635416,-115.19474784943532,9.272005743715988,23.62130933623009,-39.134578491125325,3.34,1.66,79.3,2572.0,6.6,53.89,5,7,Knuckle Curve,52.0,-0.017,-0.148
26801,FF,94.7,-1.82,4.85,"Nola, Aaron",9.0,R,R,R,S,2,2,-1.44,1.05,0.73,1.89,1,10.033298209397646,-137.4874748635114,-20.41854569226149,29.067722130133127,-18.030704933158603,3.34,1.66,96.4,2310.0,7.3,53.25,5,6,4-Seam Fastball,228.0,0.0,0.0
26802,CH,84.7,-2.03,4.75,"Nola, Aaron",14.0,R,R,R,S,2,2,-1.34,0.62,0.53,1.02,1,8.734576858719517,-123.06539917522484,-15.31851110441317,23.399823306491,-25.369756345778303,3.34,1.66,85.5,1454.0,6.8,53.69,5,5,Changeup,263.0,0.0,0.0
26803,SI,93.0,-1.87,4.76,"Nola, Aaron",14.0,R,R,R,B,1,2,-1.64,0.54,1.14,0.53,1,11.504489294846447,-134.96842279489704,-22.51325366112689,27.012961721231942,-24.301970912107357,3.12,1.56,94.7,2115.0,7.2,53.27,5,4,Sinker,229.0,0.0,0.03
26804,SI,93.6,-1.83,4.89,"Nola, Aaron",14.0,R,R,R,B,0,2,-1.56,0.7,1.61,1.56,1,12.504815812127106,-135.69142358949935,-21.932878578726186,27.71081399847232,-22.75356136405273,3.14,1.63,95.1,2009.0,7.2,53.3,5,3,Sinker,237.0,0.0,0.015
26805,SI,90.6,-1.93,4.79,"Nola, Aaron",8.0,R,R,R,S,0,1,-1.55,0.65,-0.25,1.67,1,7.6171753193254625,-131.7418758790741,-19.60947403963558,25.68822480108557,-24.031125722809215,3.22,1.68,92.1,2052.0,7.1,53.44,5,2,Sinker,237.0,0.0,-0.039
26806,FF,93.5,-1.76,4.88,"Nola, Aaron",3.0,R,R,R,S,0,0,-1.2,1.18,0.6,2.74,1,8.846152921878986,-135.9754292690365,-16.782296357683496,28.55775656901741,-17.22290930124657,3.12,1.61,94.9,2124.0,7.1,53.45,5,1,4-Seam Fastball,237.0,0.0,-0.026
26807,FF,92.9,-1.91,4.82,"Nola, Aaron",13.0,R,L,R,X,0,0,-1.42,1.24,-1.01,2.41,1,5.486511529114816,-135.0661417012801,-18.55571884038872,31.683846052379213,-16.606310031929883,3.37,1.53,93.6,2112.0,7.0,53.55,4,1,4-Seam Fastball,232.0,-0.025,-0.25
