,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
152662,FF,95.5,-3.01,5.58,"Scherzer, Max",8.0,R,L,R,S,2,2,-1.06,1.25,-0.04,1.57,2,10.159560507040752,-138.58823272882094,-15.8515553223462,29.69550390190152,-14.4646224640827,3.39,1.55,95.1,2425.0,6.1,54.36,10,6,4-Seam Fastball,224.0,0.0,0.0
152663,CH,84.1,-3.2,5.43,"Scherzer, Max",9.0,R,L,R,S,2,2,-0.95,0.19,0.58,1.55,2,10.690791534342234,-122.10095977471724,-11.482472328584382,21.25375720541758,-29.866697515801803,3.39,1.55,84.8,1497.0,6.6,53.89,10,5,Changeup,254.0,0.0,0.0
152664,FF,94.2,-3.17,5.5,"Scherzer, Max",1.0,R,L,R,S,2,1,-0.9,1.23,-0.6,3.21,2,8.644698130536511,-137.0746239750351,-13.170055438396789,27.746627949716263,-16.06071561557669,3.41,1.52,94.3,2446.0,6.2,54.34,10,4,4-Seam Fastball,223.0,0.0,-0.076
152665,FF,92.8,-3.13,5.47,"Scherzer, Max",4.0,R,L,R,S,2,0,-0.94,1.3,-0.42,2.16,2,9.00438742272507,-134.91799740704823,-13.36512876824064,26.155324623032197,-15.232165685203167,3.45,1.47,93.2,2348.0,6.3,54.19,10,3,4-Seam Fastball,223.0,0.0,-0.059
152666,FF,94.0,-3.16,5.59,"Scherzer, Max",12.0,R,L,R,B,1,0,-0.91,1.21,0.4,3.96,2,11.176319839792654,-136.5126289458184,-13.658813893035278,27.10431986014273,-16.892790374835815,3.48,1.5,94.0,2458.0,6.2,54.31,10,2,4-Seam Fastball,228.0,0.0,0.06
152667,FF,92.9,-3.02,5.82,"Scherzer, Max",12.0,R,L,R,B,0,0,-0.86,1.34,0.29,3.83,2,10.305282589894084,-134.91552209311854,-12.718451037994214,27.78551715978536,-15.423047169769935,3.45,1.5,92.7,2434.0,6.2,54.32,10,1,4-Seam Fastball,223.0,0.0,0.0409999999999999
152699,SL,84.6,-3.23,5.33,"Scherzer, Max",9.0,R,R,R,X,1,2,0.45,-0.28,0.43,2.13,1,7.632599370845221,-123.16612867371924,3.3370423956040387,20.76102462203632,-35.17206445498686,3.55,1.73,85.0,2375.0,6.2,54.34,3,5,Slider,90.0,0.011,-0.078
152700,CH,85.7,-3.27,5.35,"Scherzer, Max",13.0,R,R,R,S,1,2,-1.21,0.35,-1.12,1.85,1,7.528756752734373,-124.69022546704709,-14.062205429860386,21.411712725798683,-28.21740568661017,3.55,1.73,86.5,1516.0,6.5,54.03,3,4,Changeup,254.0,0.0,0.0
152701,FF,95.5,-3.08,5.58,"Scherzer, Max",8.0,R,R,R,S,1,1,-1.01,1.24,-0.19,1.83,1,9.862055628751774,-138.72657497648083,-15.10657223839475,27.55446210306368,-14.756111626796924,3.5,1.68,95.7,2531.0,6.2,54.27,3,3,4-Seam Fastball,221.0,0.0,-0.0289999999999999
152702,SL,85.5,-3.26,5.42,"Scherzer, Max",14.0,R,R,R,S,1,0,0.46,0.25,1.08,1.34,1,9.27112194675265,-124.30943853816672,3.083216538744741,23.52821634906019,-29.009631211241597,3.55,1.73,85.4,2382.0,6.1,54.36,3,2,Slider,125.0,0.0,-0.022
152703,SL,84.8,-3.31,5.45,"Scherzer, Max",14.0,R,R,R,B,0,0,0.29,0.08,1.37,1.06,1,10.29690599102631,-123.21855341847538,1.1522376178950533,21.624077933093734,-30.799226071066247,3.38,1.59,84.6,2330.0,6.0,54.5,3,1,Slider,172.0,0.0,0.018
152704,CU,78.4,-3.11,5.55,"Scherzer, Max",7.0,R,L,R,S,3,2,0.97,-0.79,-0.65,1.69,1,3.5361785561001806,-114.18089939375513,7.905216688196597,19.705672773264396,-39.29412039405468,3.09,1.54,78.6,2741.0,6.3,54.24,2,6,Curveball,61.0,0.018,-0.208
152705,CH,85.6,-3.19,5.5,"Scherzer, Max",13.0,R,L,R,B,2,2,-1.25,0.05,-2.37,2.25,1,4.436785978867451,-124.65497787784729,-13.885077869092576,23.12336431193155,-31.54029189688405,3.09,1.54,85.9,1466.0,6.3,54.21,2,5,Changeup,246.0,0.0,0.06
152706,CH,85.7,-3.22,5.55,"Scherzer, Max",13.0,R,L,R,B,1,2,-1.23,0.21,-2.02,1.4,1,5.302409910552743,-124.70110385945566,-13.883905048778464,22.978164121610263,-29.42737193594516,3.09,1.49,86.0,1513.0,6.3,54.23,2,4,Changeup,253.0,0.0,0.03
152707,FF,94.6,-3.14,5.57,"Scherzer, Max",1.0,R,L,R,S,1,1,-0.77,1.19,-0.73,2.75,1,7.9750515890951155,-137.64686332981682,-11.489329845924766,28.654826806263184,-16.286084466240457,3.09,1.54,94.7,2391.0,6.2,54.31,2,3,4-Seam Fastball,220.0,0.0,-0.044
152708,FF,93.4,-3.28,5.52,"Scherzer, Max",13.0,R,L,R,B,0,1,-0.91,1.22,-1.3,1.69,1,7.0750031850986925,-135.73867249649507,-12.767539145571638,27.95608929933793,-15.768407891153943,3.11,1.48,93.4,2414.0,6.2,54.3,2,2,4-Seam Fastball,224.0,0.0,0.02
152709,FF,92.7,-3.1,5.68,"Scherzer, Max",2.0,R,L,R,S,0,0,-0.9,1.17,-0.16,2.88,1,9.390588996989743,-134.74547097072966,-12.870288342503107,27.211809349518976,-17.23032278407923,3.06,1.52,92.4,2428.0,6.0,54.47,2,1,4-Seam Fastball,217.0,0.0,-0.026
152710,FF,93.6,-3.16,5.58,"Scherzer, Max",5.0,R,L,R,X,0,0,-1.08,1.16,0.12,2.46,1,10.796121583725752,-135.9232929577948,-15.698028782392957,28.029076697441987,-16.8785059301884,3.41,1.67,93.4,720.0,6.2,54.33,1,1,4-Seam Fastball,276.0,0.025,-0.25
174230,FF,94.3,-3.1,5.64,"Scherzer, Max",6.0,R,L,R,X,0,1,-1.08,1.42,0.43,2.19,7,11.527871157801876,-136.60292414405728,-16.195492821162667,32.545375247870844,-13.182014428700244,3.41,1.56,93.5,2537.0,6.3,54.25,66,2,4-Seam Fastball,221.0,-0.02,-0.095
174231,FF,93.8,-3.04,5.68,"Scherzer, Max",6.0,R,L,R,S,0,0,-0.86,1.41,0.4,2.69,7,10.775447186587469,-136.09580706545572,-13.1645038641834,31.406180790354643,-13.7048432534849,3.41,1.56,93.4,2483.0,6.3,54.16,66,1,4-Seam Fastball,221.0,0.0,-0.017
174232,CH,86.0,-3.36,5.32,"Scherzer, Max",8.0,R,L,R,X,2,0,-1.21,0.17,-0.18,2.01,7,10.000428662903593,-124.96129330648516,-14.608283473405494,23.72807802250149,-30.237120809876828,3.47,1.59,86.4,1395.0,6.5,54.0,65,3,Changeup,252.0,0.25,0.955
174233,CH,85.4,-3.35,5.37,"Scherzer, Max",11.0,R,L,R,B,1,0,-1.31,0.35,-1.82,2.78,7,6.252055040728038,-124.2579381715318,-14.80421359451854,24.63416759729614,-28.62212652188636,3.25,1.61,85.7,1393.0,6.5,54.01,65,2,Changeup,251.0,0.0,0.027
174234,CU,75.8,-3.24,5.61,"Scherzer, Max",11.0,R,L,R,B,0,0,1.24,-0.83,-0.98,2.75,7,2.522427128400703,-110.32601879750683,9.567628304519404,21.15921402241407,-39.68356121897568,3.14,1.47,75.8,2801.0,6.4,54.06,65,1,Curveball,64.0,0.0,0.018
174235,SL,85.4,-3.41,5.29,"Scherzer, Max",14.0,R,R,R,X,2,2,0.29,0.13,1.19,1.17,7,10.243866375281671,-123.97169830141956,0.978094960249374,24.779143579216925,-30.230521079711536,3.37,1.57,85.4,2466.0,6.5,54.05,64,5,Slider,109.0,-0.035,-0.148
174236,CH,83.9,-3.34,5.35,"Scherzer, Max",13.0,R,R,R,S,2,1,-1.27,0.61,-1.09,1.82,7,7.7699622846831105,-121.98682737434238,-14.22159963342672,23.360521008464872,-25.646267769040747,3.37,1.57,84.4,1454.0,6.6,53.87,64,4,Changeup,250.0,0.0,-0.047
174237,SL,85.2,-3.39,5.3,"Scherzer, Max",14.0,R,R,R,B,1,1,0.4,0.12,1.76,0.25,7,11.325895180798296,-123.6287400367978,1.958045072075478,23.42645471958617,-29.97110123548752,3.37,1.62,85.5,2419.0,6.5,54.0,64,3,Slider,111.0,0.0,0.033
174238,FF,94.1,-3.05,5.59,"Scherzer, Max",14.0,R,R,R,B,0,1,-1.17,1.36,0.9,1.54,7,12.819959974375918,-136.28771569617322,-17.41134859024968,29.713608407679388,-13.505868699165726,3.37,1.56,94.0,2444.0,6.5,54.04,64,2,4-Seam Fastball,226.0,0.0,0.02
174239,SL,84.1,-3.44,5.38,"Scherzer, Max",9.0,R,R,R,S,0,0,0.59,0.35,0.39,1.56,7,7.704141030626753,-122.27200401304276,4.179533603938437,26.55948432463592,-28.182281355903324,3.37,1.57,83.7,2419.0,6.3,54.21,64,1,Slider,126.0,0.0,-0.026
