,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
159139,SL,85.2,-1.19,5.49,"Bieber, Shane",14.0,R,R,R,X,3,2,0.0,-0.37,0.95,2.21,6,5.05911104274593,-124.0687034442534,-0.9125329252842648,21.928336115433503,-36.05935109696649,3.12,1.5,86.2,2457.0,6.6,53.89,48,7,Slider,51.0,0.064,0.3289999999999999
159140,SL,85.3,-1.12,5.52,"Bieber, Shane",14.0,R,R,R,B,2,2,0.17,-0.12,1.66,0.66,6,6.245366271075385,-124.2329935385803,0.7600461112723359,20.318347235413786,-32.74551148574461,2.87,1.5,86.7,2570.0,6.7,53.8,48,6,Slider,31.0,0.0,0.103
159141,FF,94.6,-1.15,5.61,"Bieber, Shane",2.0,R,R,R,S,2,2,-0.74,1.58,0.01,2.77,6,4.748300752204392,-137.7127024250005,-10.489556040884723,30.791867772284142,-11.109976422782056,3.12,1.5,95.5,2411.0,6.8,53.71,48,5,4-Seam Fastball,210.0,0.0,0.0
159142,KC,84.0,-1.22,5.61,"Bieber, Shane",14.0,R,R,R,B,1,2,0.86,-1.17,1.51,1.16,6,4.6442320560858334,-122.28758600712725,7.67700296083305,25.380465255440697,-43.72159980585853,2.9,1.5,84.3,2510.0,6.6,53.92,48,4,Knuckle Curve,30.0,0.0,0.035
159143,SL,84.6,-1.2,5.52,"Bieber, Shane",14.0,R,R,R,S,1,1,0.15,-0.15,0.81,1.14,6,4.408040097757921,-123.27172123265623,0.8502512055109976,20.228834654033086,-33.327961937634306,3.12,1.5,85.6,2516.0,6.5,54.01,48,3,Slider,85.0,0.0,-0.06
159144,SL,84.0,-1.28,5.57,"Bieber, Shane",14.0,R,R,R,B,0,1,0.16,-0.48,0.88,0.44,6,4.709934994189412,-122.27222043765636,0.735302827048639,22.196099647122875,-36.377196661332846,2.91,1.5,84.7,2570.0,6.6,53.93,48,2,Slider,34.0,0.0,0.032
159145,FC,88.6,-1.31,5.62,"Bieber, Shane",2.0,R,R,R,S,0,0,0.19,0.69,0.06,3.15,6,2.95269331112436,-129.10947993996248,1.6103363236678638,23.568369876706345,-24.34647276935766,3.12,1.5,89.7,2599.0,6.6,53.92,48,1,Cutter,184.0,0.0,-0.042
159163,FC,90.0,-1.33,5.52,"Bieber, Shane",8.0,R,R,R,X,0,0,0.03,0.88,-0.26,1.78,5,2.627922510474601,-131.03938425255305,-0.1734738684552056,25.993260531611032,-21.146572951281254,3.67,1.77,91.1,2569.0,6.8,53.72,42,1,Cutter,197.0,-0.036,-0.251
159164,FC,89.0,-1.25,5.57,"Bieber, Shane",6.0,R,R,R,X,1,0,0.2,0.75,0.52,2.87,5,3.953613364556501,-129.72276693385425,1.5254334956327489,25.6908492992036,-23.433657866302447,3.58,1.68,89.8,2621.0,6.5,53.96,41,2,Cutter,187.0,0.02,0.121
159165,FC,89.9,-1.28,5.59,"Bieber, Shane",14.0,R,R,R,B,0,0,0.2,0.9,1.02,1.4,5,5.311537081408981,-130.76955989739486,1.3398932298325774,24.73093416759689,-20.740920599915118,3.2,1.68,91.1,2711.0,6.8,53.69,41,1,Cutter,201.0,0.0,0.018
